Country Name,Country Code,Indicator Name,2022,2023,2024
Haiti,HTI,GDP per capita (current US$),1760.626357,1705.758085,2142.623305
Hungary,HUN,GDP per capita (current US$),18483.63669,22312.17903,23310.75127
IBRD only,IBD,GDP per capita (current US$),7745.393066,7964.736753,8253.921253
IDA & IBRD total,IBT,GDP per capita (current US$),6043.777287,6157.398215,6340.63327
IDA total,IDA,GDP per capita (current US$),1551.173814,1458.944691,1441.908531
IDA blend,IDB,GDP per capita (current US$),1962.521523,1729.919829,1565.836271
Indonesia,IDN,GDP per capita (current US$),4730.834848,4876.307745,4925.430488
IDA only,IDX,GDP per capita (current US$),1330.402539,1319.434443,1387.929373
Isle of Man,IMN,GDP per capita (current US$),88328.54813,,
India,IND,GDP per capita (current US$),2347.448294,2530.120313,2696.6639
Not classified,INX,GDP per capita (current US$),,,
Ireland,IRL,GDP per capita (current US$),105234.5116,103887.8004,107316.3373
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),4405.092915,4465.637669,4771.40029
Iraq,IRQ,GDP per capita (current US$),6520.731546,5965.318351,6073.610323
Iceland,ISL,GDP per capita (current US$),75121.01523,79960.09615,82703.85799
Israel,ISR,GDP per capita (current US$),54949.62156,52003.72007,54176.68444
Italy,ITA,GDP per capita (current US$),35653.90421,39065.42444,40226.04724
Jamaica,JAM,GDP per capita (current US$),6022.153398,6839.725024,7019.746348
Jordan,JOR,GDP per capita (current US$),4332.251599,4466.083142,4618.095925
Japan,JPN,GDP per capita (current US$),34065.6439,33836.17563,32475.8925
Kazakhstan,KAZ,GDP per capita (current US$),11255.33964,12879.42753,14005.34874
Kenya,KEN,GDP per capita (current US$),2109.562885,1952.304579,2206.134979
Kyrgyz Republic,KGZ,GDP per capita (current US$),1739.720183,2138.222102,2419.265536
Cambodia,KHM,GDP per capita (current US$),2325.0305,2429.748535,2627.879697
Kiribati,KIR,GDP per capita (current US$),2069.767201,2177.701141,2288.634583
St. Kitts and Nevis,KNA,GDP per capita (current US$),20985.01122,22600.45023,22771.41689
"Korea, Rep.",KOR,GDP per capita (current US$),32394.68337,33121.37129,
Kuwait,KWT,GDP per capita (current US$),39981.7691,34075.84904,32213.86223
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),9093.652742,10166.92867,10344.6689
Lao PDR,LAO,GDP per capita (current US$),2046.404403,2066.949798,2123.979094
Lebanon,LBN,GDP per capita (current US$),3654.358455,3477.724898,
Liberia,LBR,GDP per capita (current US$),744.6171752,799.1944702,846.2773684
Libya,LBY,GDP per capita (current US$),5986.636949,6172.812469,6318.40314
St. Lucia,LCA,GDP per capita (current US$),13103.82431,13554.76848,14181.63034
Latin America & Caribbean,LCN,GDP per capita (current US$),9716.032667,10838.82795,11044.67966
Least developed countries: UN classification,LDC,GDP per capita (current US$),1273.789792,1220.238439,1258.940012
Low income,LIC,GDP per capita (current US$),723.5046389,697.1711915,746.9347888
Liechtenstein,LIE,GDP per capita (current US$),186821.8818,207973.6177,
Sri Lanka,LKA,GDP per capita (current US$),3342.636503,3798.890166,4515.567873
Lower middle income,LMC,GDP per capita (current US$),2424.150547,2443.408276,2517.632612
Low & middle income,LMY,GDP per capita (current US$),5702.283442,5819.840863,5974.804522
Lesotho,LSO,GDP per capita (current US$),1030.125796,916.2829705,971.8146205
Late-demographic dividend,LTE,GDP per capita (current US$),12280.10754,12422.7254,12843.33444
Lithuania,LTU,GDP per capita (current US$),25085.78406,27786.00578,29386.28784
Luxembourg,LUX,GDP per capita (current US$),123719.6589,131407.6814,137516.5873
Latvia,LVA,GDP per capita (current US$),20227.23074,22675.57863,23367.59868
