API_SP.URB.TOTL.IN.ZS_DS2_en_csv_v2_129596
Middle income,MIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.6143634433195,54.1642810434769
North Macedonia,MKD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.118,59.479
Mali,MLI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.437,46.189
Malta,MLT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,94.875,94.941
Myanmar,MMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,31.771,32.112
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.8947837283828,52.2121790296612
Montenegro,MNE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.164,68.502
Mongolia,MNG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.93,69.089
Northern Mariana Islands,MNP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.983,92.076
Mozambique,MOZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,38.187,38.753
Mauritania,MRT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.923,57.699
Mauritius,MUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,40.81,40.867
Malawi,MWI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,17.98,18.28
Malaysia,MYS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.214,78.716
North America,NAC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.9479010196301,83.1481694234629
Namibia,NAM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.956,54.886
New Caledonia,NCL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,72.325,72.719
Niger,NER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,16.894,17.054
Nigeria,NGA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.521,54.283
Nicaragua,NIC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.556,59.849
Netherlands,NLD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.886,93.179
Norway,NOR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,83.664,83.995
Nepal,NPL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,21.451,21.903
Nauru,NRU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100
New Zealand,NZL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,86.884,86.985
OECD members,OED,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.4656772954836,81.6866281137381
Oman,OMN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.75,88.4
Other small states,OSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.5597027670278,55.8999738244511
Pakistan,PAK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,37.731,38.04
Panama,PAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.141,69.512
Peru,PER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.708,78.922
Philippines,PHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.977,48.287
Palau,PLW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.956,82.408
Papua New Guinea,PNG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,13.582,13.723
Poland,POL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.134,60.218
Pre-demographic dividend,PRE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.6418701367517,44.1972682106447
Puerto Rico (US),PRI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,93.61,93.634
"Korea, Dem. People's Rep.",PRK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.916,63.203
Portugal,PRT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.381,67.906
Paraguay,PRY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.818,63.149
West Bank and Gaza,PSE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,77.291,77.582
Pacific island small states,PSS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,39.2714686784769,39.5195613366532
Post-demographic dividend,PST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.0738786885386,82.30884149124
French Polynesia,PYF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,62.17,62.288
Qatar,QAT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,99.318,99.354
Romania,ROU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.489,54.672
Russian Federation,RUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.126,75.331
Rwanda,RWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,17.721,17.892
South Asia,SAS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.7853207636492,36.3076855606528
Saudi Arabia,SAU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,84.729,84.95
Sudan,SDN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,35.956,36.342
Senegal,SEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,49.086,49.579
Singapore,SGP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,25.584,26.037
Sierra Leone,SLE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.831,44.3
El Salvador,SLV,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.767,75.393
San Marino,SMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,97.732,97.836
"Somalia, Fed. Rep.",SOM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.324,47.92
Serbia,SRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.873,57.113
Sub-Saharan Africa (excluding high income),SSA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,44.6956889472847,45.2427648866949
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,20.846,21.195
Sub-Saharan Africa,SSF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.4493969365686,42.9881232794007
Small states,SST,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.8158557665979,52.0999076695216
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,75.755,76.401
Suriname,SUR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.307,66.411
Slovak Republic,SVK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.909,54.027
Slovenia,SVN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,55.751,56.088
Sweden,SWE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.492,88.738
Eswatini,SWZ,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.576,24.79
Sint Maarten (Dutch part),SXM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100,100
Seychelles,SYC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.396,58.82
Syrian Arab Republic,SYR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.769,57.409
Turks and Caicos Islands,TCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,94.047,94.247
Chad,TCD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.063,24.366
East Asia & Pacific (IDA & IBRD countries),TEA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.1757435746239,60.0098852351415
Europe & Central Asia (IDA & IBRD countries),TEC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,67.0058080559943,67.1812944997938
Togo,TGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.921,44.49
Thailand,THA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,52.889,53.608
Tajikistan,TJK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.968,28.234
Turkmenistan,TKM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.494,54.003
Latin America & the Caribbean (IDA & IBRD countries),TLA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,81.5750058081646,81.8143993320891
Timor-Leste,TLS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.074,32.456
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.7147486556237,52.0311420435839
