Table 1
State,CollegeEducation__Value (Percent),CollegeEducation__People (Education: At Least Bachelor's Degree),"CrimeAgainstPropertyRate__Number of 
Participating
Agencies","CrimeAgainstPropertyRate__Population
Covered","CrimeAgainstPropertyRate__Total 
Offenses",CrimeAgainstPropertyRate__Arson,CrimeAgainstPropertyRate__Bribery,"CrimeAgainstPropertyRate__Burglary/
Breaking &
Entering","CrimeAgainstPropertyRate__Counterfeiting/
Forgery","CrimeAgainstPropertyRate__Destruction/
Damage/
Vandalism",CrimeAgainstPropertyRate__Embezzlement,"CrimeAgainstPropertyRate__Extortion/
Blackmail","CrimeAgainstPropertyRate__Fraud 
Offenses","CrimeAgainstPropertyRate__Larceny/
Theft
Offenses","CrimeAgainstPropertyRate__Motor
Vehicle
Theft",CrimeAgainstPropertyRate__Robbery,"CrimeAgainstPropertyRate__Stolen 
Property 
Offenses","CrimesAgainstPersons__Number of 
Participating
Agencies","CrimesAgainstPersons__Population
Covered","CrimesAgainstPersons__Total 
Offenses","CrimesAgainstPersons__Assault
Offenses","CrimesAgainstPersons__Homicide
Offenses","CrimesAgainstPersons__Human
Trafficking
Offenses","CrimesAgainstPersons__Kidnapping/
Abduction","CrimesAgainstPersons__Sex 
Offenses",NonHSGrad__Value (Percent) (Non High School Educated),NonHSGrad__People(Education: Less Than High School),RealMedianIncome__2024 (C-CPI-U Dollars),RealMedianIncome__Preceding Period ,RealMedianIncome__Year Ago,UnemploymentRate__2024,UnemploymentRate__2023,UnemploymentRate__2022,UrbanPopulation__Urban Population,UrbanPopulation__Population Percentage
North Carolina,34.7,2521353,400,"10,421,456","343,890","1,420",17.0,"34,233","4,767","58,513","2,253","1,442","45,639","156,319","27,077","5,492","6,718",393,"10,543,278","149,116","139,668",865,54.0,"1,750","6,779",10.3,744581,67220.0,70390.0,70390.0,3.6,3.5,3.5,6964727.0,66.7
North Dakota,32.3,164378,111,"783,926","24,322",60,5.0,"2,400",673,"4,296",114,102,"2,951","11,245","1,707",200,569,107,"791,040","12,595","11,336",30,12.0,145,"1,072",6.2,31418,88080.0,78950.0,78950.0,2.4,2.0,2.0,474989.0,61
Ohio,30.9,2514129,637,"11,239,743","294,486","1,056",13.0,"25,608","3,733","65,214",105,947,"21,295","134,899","30,593","5,788","5,235",641,"11,118,870","158,131","146,236",611,51.0,"2,047","9,186",8.4,680554,80520.0,75680.0,75680.0,4.3,3.7,3.7,9001099.0,76.3
Oklahoma,27.8,733793,460,"4,053,824","135,703",685,15.0,"18,100","2,718","21,137","1,821",615,"16,057","59,248","10,787","1,519","3,001",471,"4,095,393","71,932","65,708",332,54.0,826,"5,012",10.9,287078,65310.0,69070.0,69070.0,3.3,3.2,3.2,2558611.0,64.6
Oregon,36.2,1094312,207,"4,175,772","169,856","1,331",5.0,"14,014","2,934","33,786",226,270,"16,001","79,850","17,432","2,643","1,364",208,"4,219,895","43,242","38,803",199,29.0,480,"3,731",8.3,250221,89700.0,91030.0,91030.0,4.2,3.8,3.8,3410984.0,80.5
Pennsylvania,34.5,3157318,158,"5,502,689","189,122","1,004",11.0,"10,232","1,788","42,793","1,018",567,"20,721","77,093","26,280","5,987","1,628",202,"6,618,568","83,008","76,095",579,46.0,419,"5,869",8.1,740736,80060.0,81880.0,81880.0,3.6,3.7,3.7,9941070.0,76.5
Rhode Island,37.3,289667,48,"1,094,548","23,470",84,2.0,"1,323",585,"5,834",138,121,"3,698","9,616","1,510",246,313,48,"1,110,883","9,597","9,010",26,9.0,35,517,10.5,81676,92290.0,83980.0,83980.0,4.3,3.0,3.0,999191.0,91.1
South Carolina,31.5,1136208,489,"5,363,912","187,818",673,11.0,"16,614","4,156","33,495",859,499,"23,839","88,516","13,314","2,117","3,725",447,"5,472,057","96,369","91,144",467,40.0,948,"3,770",10.4,375697,76780.0,70890.0,70890.0,4.1,3.0,3.0,3477869.0,67.9
South Dakota,31.1,185411,107,"844,189","22,660",44,0.0,"1,836",536,"4,708",212,29,"1,642","11,003","2,136",189,325,101,"832,620","13,670","12,552",57,9.0,142,910,7.0,41643,79850.0,83860.0,83860.0,1.8,1.8,1.8,507347.0,57.2
Tennessee,30.4,1460501,398,"7,121,949","261,520",902,19.0,"21,066","4,911","47,304","1,984","1,010","27,595","117,251","32,161","5,123","2,194",395,"7,220,116","147,919","139,310",704,92.0,"2,052","5,761",10.4,499497,75860.0,74580.0,74580.0,3.4,3.2,3.2,4577282.0,66.2
Texas,33.1,6381971,"1,359","30,161,963","999,345","2,579",117.0,"88,315","20,494","167,593","2,835","1,481","92,770","472,786","123,806","21,061","5,508","1,531","31,098,882","479,367","450,195","1,950",546.0,"3,877","22,799",14.3,2759723,81490.0,81110.0,81110.0,4.1,4.0,4.0,24400697.0,83.7
Utah,36.9,739555,138,"3,399,787","97,009",274,15.0,"5,472","1,484","21,963",67,697,"13,907","45,674","5,035",901,"1,520",139,"3,439,646","41,685","34,759",103,64.0,"1,386","5,373",6.7,134602,104000.0,103800.0,103800.0,3.2,2.7,2.7,2937303.0,89.8
Vermont,42.6,197369,87,"647,464","16,744",42,1.0,902,244,"2,805",64,24,"1,455","10,263",585,93,266,87,"648,493","4,281","3,873",25,1.0,104,278,5.5,25326,85260.0,87400.0,87400.0,2.3,1.9,1.9,225850.0,35.1
Virginia,41.5,2471630,416,"8,715,117","252,659",635,34.0,"10,500","5,115","50,308","1,883","1,626","41,095","121,242","14,858","3,297","2,066",413,"8,809,350","111,971","103,871",517,83.0,"2,036","5,464",8.7,516186,97720.0,98990.0,98990.0,2.9,2.7,2.7,6528313.0,75.6
Washington,38.8,2097154,245,"7,758,180","355,942","1,309",9.0,"36,289","3,282","79,302",228,"1,009","23,037","145,166","52,809","6,437","7,065",256,"7,920,519","88,744","81,301",366,69.0,"1,572","5,436",7.8,421541,97500.0,95850.0,95850.0,4.5,4.2,4.2,6424035.0,83.4
West Virginia,23.3,295541,248,"1,555,284","29,425",206,2.0,"2,833",676,"5,416",145,38,"2,621","15,182","1,526",201,579,286,"1,655,249","15,815","14,194",108,15.0,160,"1,338",11.4,144554,63150.0,61970.0,61970.0,4.1,3.9,3.9,800857.0,44.6
Wisconsin,32.8,1333128,383,"5,743,277","117,437",364,4.0,"7,255","2,222","24,215",750,533,"14,508","54,170","9,895","2,290","1,231",398,"5,847,605","52,126","46,069",357,89.0,"1,231","4,380",6.6,269431,82560.0,81750.0,81750.0,3.0,2.8,2.8,3953691.0,67.1
Wyoming,29.9,118336,52,"515,122","13,095",40,2.0,"1,057",357,"2,669",32,160,"1,548","6,367",745,66,52,55,"533,081","6,584","5,912",24,20.0,72,556,5.9,23502,78680.0,79200.0,79200.0,3.2,2.9,2.9,357750.0,62
